Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-10-24 08:16:43,false,"New York Running","3.06","240","00:27:12","158","179","3.4","173","183","8:53","7:23","36","31","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:32.15","4","0.0"
running,2019-10-23 19:04:26,false,"New York Running","5.31","465","00:45:48","170","186","4.7","171","183","8:38","7:19","85","36","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:52.29","6","0.0"
running,2019-10-20 13:08:49,false,"New York Running","3.21","280","00:28:32","162","181","3.6","167","179","8:54","7:46","29","25","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:57.82","4","0.0"
running,2019-10-20 09:25:18,false,"New York Running","0.22","20","00:02:02.0","168","187","1.4","179","189","9:24","8:36","--","--","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-10-19 10:36:03,false,"New York Running","1.35","99","00:11:08","149","177","2.3","172","177","8:15","7:58","--","3","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:52.64","2","0.0"
running,2019-10-19 09:33:36,false,"New York Running","3.27","147","00:19:47","139","164","2.2","180","202","6:03","5:24","3","3","1.48","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:39.63","4","0.0"
running,2019-10-19 08:52:55,false,"New York Running","1.32","80","00:10:36","141","181","2.0","171","199","8:03","6:59","--","33","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:25.47","2","0.0"
running,2019-10-18 08:35:43,false,"New York Running","3.11","292","00:29:05","172","203","4.0","173","187","9:21","8:27","26","26","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:02.99","4","0.0"
running,2019-10-16 20:18:09,false,"New York Running","1.00","75","00:08:37.0","150","160","2.1","174","190","8:35","6:47","15","--","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.36","2","0.0"
running,2019-10-16 19:55:35,false,"New York Running","2.75","141","00:17:26","147","175","2.5","178","197","6:20","5:13","--","--","1.42","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.83","11","0.0"
running,2019-10-16 19:43:50,false,"New York Running","1.31","76","00:10:33","134","146","1.8","172","197","8:04","7:05","--","7","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:19.85","2","0.0"
running,2019-10-15 17:08:45,false,"New York Running","5.01","359","00:37:22","169","189","4.3","176","195","7:28","6:32","73","118","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.79","6","0.0"
running,2019-10-14 08:38:32,false,"New York Running","0.41","33","00:03:53.8","150","156","1.5","175","179","9:24","8:38","--","--","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-10-14 08:01:31,false,"New York Running","0.32","22","00:02:58.6","139","159","1.3","174","181","9:24","8:07","--","--","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-10-13 11:33:02,false,"New York Running","0.14","8","00:01:06.2","152","167","1.1","183","191","7:38","7:45","--","--","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-10-13 10:59:07,false,"New York Running","3.01","202","00:23:25","157","171","3.1","175","199","7:47","5:53","56","--","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.51","4","0.0"
running,2019-10-13 09:21:25,false,"New York Running","0.61","42","00:05:15.0","146","185","1.7","181","191","8:36","7:50","--","--","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-10-12 12:42:41,false,"New York Running","7.11","531","01:02:48","159","187","4.0","171","180","8:50","7:35","204","148","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:40.76","8","0.0"
running,2019-10-12 10:49:12,false,"New York Running","0.41","35","00:04:13.0","151","177","1.6","172","179","10:20","9:06","7","--","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-10-12 10:27:07,false,"New York Running","0.30","20","00:02:47.8","138","162","1.2","181","192","9:16","7:25","--","--","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-10-10 08:31:38,false,"New York Running","1.00","84","00:08:48.1","169","187","2.5","174","183","8:46","7:19","10","7","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.98","2","0.0"
running,2019-10-10 07:56:22,false,"New York Running","4.01","260","00:29:09","162","177","3.5","175","199","7:16","5:41","76","79","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.41","5","0.0"
running,2019-10-09 07:52:15,false,"New York Running","5.22","432","00:45:17","167","194","4.6","173","187","8:41","7:53","185","185","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:55.93","6","0.0"
running,2019-10-06 11:32:06,false,"New York Running","4.21","323","00:36:32","158","188","3.5","172","182","8:40","7:49","80","80","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:57.11","5","0.0"
